PG.ProteinGroups	PG.Genes	[1] 20260428_TIMS6_EVO4_PRI_DIA_30SPD_15cmPS_P8_R2003_X3858_ADG000268_S1_S3-A1_1_20231.d.PG.Quantity	[2] 20260428_TIMS6_EVO4_PRI_DIA_30SPD_15cmPS_P8_R2003_X3858_ADG000268_S2_S3-A2_1_20232.d.PG.Quantity	[3] 20260428_TIMS6_EVO4_PRI_DIA_30SPD_15cmPS_P8_R2003_X3858_ADG000268_S3_S3-A3_1_20233.d.PG.Quantity	[4] 20260428_TIMS6_EVO4_PRI_DIA_30SPD_15cmPS_P8_R2003_X3858_ADG000268_S4_S3-A4_1_20234.d.PG.Quantity	[5] 20260428_TIMS6_EVO4_PRI_DIA_30SPD_15cmPS_P8_R2003_X3858_ADG000268_S5_S3-A5_1_20235.d.PG.Quantity	[6] 20260428_TIMS6_EVO4_PRI_DIA_30SPD_15cmPS_P8_R2003_X3858_ADG000268_S6_S3-A6_1_20236.d.PG.Quantity	[7] 20260428_TIMS6_EVO4_PRI_DIA_30SPD_15cmPS_P8_R2003_X3858_ADG000268_S7_S3-A7_1_20237.d.PG.Quantity	[8] 20260428_TIMS6_EVO4_PRI_DIA_30SPD_15cmPS_P8_R2003_X3858_ADG000268_S8_S3-A8_1_20238.d.PG.Quantity
A6H687	Sac3d1	216.78973388671875	129.66485595703125	143.759033203125	159.19309997558594	173.49822998046875	174.23101806640625	136.29359436035156	138.24356079101562
A6H6A9	Rabgap1l	117.54180145263672	97.99671936035156	86.89456176757812	78.7052230834961	68.05803680419922	77.82633972167969	67.96237182617188	67.04741668701172
A6H8H2	Dennd4c	345.4588317871094	273.464599609375	258.27557373046875	260.3429870605469	288.8687438964844	269.5812683105469	282.6253967285156	283.5016174316406
A6PWY4	Wdr76	121.46429443359375	118.906005859375	140.3418731689453	122.2764892578125	125.90916442871094	150.18338012695312	134.5492401123047	131.40611267089844
A6X8Z5	Arhgap31	345.4942932128906	307.83721923828125	313.0838623046875	338.671630859375	297.9350891113281	245.1656951904297	282.2080078125	258.1150817871094
A6X919	Dpy19l1	244.54547119140625	168.9843292236328	170.38294982910156	122.10135650634766	193.7313232421875	237.07859802246094	188.8608856201172	153.5116729736328
A6X935	Itih4	605.4910278320312	357.4342041015625	371.9969177246094	347.3481140136719	227.35423278808594	154.26095581054688	98.46916198730469	98.42459869384766
A7RDN6	Rnls	13.126218795776367	17.32563018798828	15.811439514160156	8.247279167175293	23.63838768005371	11.572113037109375	8.763601303100586	16.670080184936523
A8C756	Thada	442.2722473144531	523.4852905273438	545.03662109375	550.4454956054688	513.5824584960938	504.716552734375	453.7476501464844	493.7036437988281
A8Y5H7	Sec14l1	287.8117370605469	267.8791809082031	308.7466735839844	230.8013916015625	242.1718292236328	260.92144775390625	343.31793212890625	387.7910461425781
B0F2B4	Nlgn4l	85.1895523071289	24.14902114868164	33.009620666503906	40.078739166259766	NaN	50.702213287353516	55.95215606689453	61.75281524658203
B0V2N1	Ptprs	81.73405456542969	97.6747817993164	82.82161712646484	85.47374725341797	74.86344146728516	79.42393493652344	123.05611419677734	112.38914489746094
B1AQJ2	Usp36	206.98040771484375	225.19764709472656	219.01568603515625	238.95359802246094	242.3850555419922	212.08303833007812	229.79978942871094	218.0234832763672
B1AR13	Cisd3	490.3781433105469	439.3014831542969	484.6206359863281	443.702880859375	423.2970275878906	493.0657958984375	481.7592468261719	567.236083984375
B1ARD6	Slfn9	45.707576751708984	71.47794342041016	80.2353515625	64.38129425048828	75.69813537597656	82.11296844482422	75.1016616821289	70.39735412597656
B1AUE5	Pex10	28.95916748046875	39.80674743652344	71.96424102783203	69.33601379394531	76.31360626220703	38.83440017700195	55.74311447143555	57.532649993896484
B1AUR6	Mms22l	62.75653076171875	51.9761848449707	57.56329345703125	54.2397575378418	58.79176712036133	51.6618766784668	53.65150451660156	44.63186264038086
B1AVH7	Tbc1d2	69.29029846191406	74.62005615234375	69.5711898803711	69.40460968017578	89.5769271850586	48.02456283569336	62.10068130493164	50.4883918762207
B1AVY7	Kif16b	26.32607650756836	29.036298751831055	48.518775939941406	34.53290939331055	35.997589111328125	34.067596435546875	10.943103790283203	38.746063232421875
B1AVZ0	Uprt	415.38372802734375	381.6405944824219	411.5207214355469	417.0950622558594	403.7131652832031	366.3738098144531	377.2504577636719	354.7339172363281
B1AWL2	Znf462	115.45626068115234	93.25540924072266	108.08609008789062	113.95525360107422	114.07760620117188	109.466552734375	101.33080291748047	102.25078582763672
B1AX39	Zcchc7	76.81043243408203	75.83297729492188	90.34159851074219	88.17247009277344	78.63629150390625	83.56993103027344	81.75987243652344	81.1749038696289
B1AXD8	Akirin2	80.02532958984375	74.5528564453125	110.4195327758789	58.0682373046875	81.60211181640625	97.57296752929688	67.15786743164062	NaN
B1AXP6	Tomm5	181.9651641845703	57.02544021606445	118.12572479248047	142.43121337890625	141.88272094726562	107.92181396484375	65.94780731201172	NaN
B1AY10	Nfx1	289.78399658203125	262.2723083496094	267.800048828125	260.5607604980469	259.27044677734375	260.09246826171875	228.27833557128906	230.89794921875
B1AY13	Usp24	526.3644409179688	449.7528381347656	480.1505432128906	478.0025634765625	463.28045654296875	433.9898376464844	460.3484191894531	423.45172119140625
B1AZ99	Otud3	92.07827758789062	9.740043640136719	6.271036624908447	6.662308692932129	11.685166358947754	19.29384422302246	12.321043014526367	7.4461588859558105
B1AZA5	Tmem245	19.731698989868164	46.59663772583008	10.849889755249023	10.8561372756958	14.349603652954102	14.505659103393555	8.70808219909668	11.142311096191406
B1AZI6	Thoc2	1041.9569091796875	1147.712646484375	1331.958740234375	1237.3231201171875	1237.1351318359375	937.1475219726562	1031.48095703125	1013.64306640625
B1AZP2	Dlgap4	163.29266357421875	193.0768280029297	205.13267517089844	252.9190673828125	260.8370666503906	230.35308837890625	249.87498474121094	263.3504333496094
B2KF05	Brpf3	16.474525451660156	20.061614990234375	21.756290435791016	27.06053924560547	22.66086769104004	20.673622131347656	15.417563438415527	22.007448196411133
B2RQC2	Usp42	94.87564849853516	79.01597595214844	73.95746612548828	83.83712005615234	77.6003646850586	86.05907440185547	88.07481384277344	66.7146224975586
B2RQC6	Cad	6650.4833984375	6614.82275390625	6600.17236328125	6494.79296875	6563.83642578125	7527.1435546875	6937	6510.6748046875
B2RQE8	Arhgap42	85.3090591430664	63.291141510009766	99.80510711669922	94.03584289550781	99.62828063964844	69.85296630859375	90.56363677978516	86.60690307617188
B2RR83	Ythdc2	69.25358581542969	89.70589447021484	79.6986083984375	85.8570556640625	94.64934539794922	91.1584701538086	87.71720886230469	91.98004913330078
B2RRD7	Brpf1	341.7926330566406	267.23333740234375	303.87493896484375	251.48460388183594	284.6791687011719	336.72271728515625	279.8283386230469	260.9090576171875
B2RRE7	Otud4	1164.206298828125	1076.6094970703125	974.2911987304688	867.9398193359375	893.9710083007812	1035.1070556640625	915.4724731445312	830.7774047851562
B2RS91	Rrn3	66.27597045898438	71.14566040039062	48.59761428833008	50.08797073364258	62.93716049194336	71.06147766113281	44.32635498046875	36.37171936035156
B2RSH2	Gnai1	36.871925354003906	42.871707916259766	50.011409759521484	45.41526794433594	53.49287414550781	49.509525299072266	34.506378173828125	34.0153923034668
B2RUR8	Otud7b	590.8521728515625	514.7061767578125	536.5296630859375	500.5856018066406	498.0211486816406	489.54351806640625	482.4480895996094	469.19873046875
